Nombre scenario	Loco91		
Especie	Loco		
Region	Chile_IV		
			
Run Options			
Conditioning (1) or Simulation (2) Flag	2		
N replicates	1		
Type of Graphs / Variable to plot / Scale	3	3	1
Output Weight and Size?	FALSE		
Output_Nage_Nsize?	FALSE		
			
"Observation Error (1: Determinist, 2: Stochastic)"			
Survey	1		
"Process Error (1: Determinist, 2: Stochastic)"			
Recruitment	1		
Initial Conditions	1		
		
Conditioning Data		
Recruitment? / q_RecIndex	FALSE	1
"Biomas? / (1: Absolute, 2: Relative)"	FALSE	1
"Abundance? / (1: Absolute, 2: Relative)"	FALSE	1
Input Catch?	TRUE	
		
		
		
		
		
		
		
Dimensioning Parameters		
Number of Areas	91	
First Year	1970	
Last Year	2006																																																																																										
Number of steps intrayear (Nt)	1																																																																																										
Start Age	1																																																																																										
Age Plus Group	20																																																																																										
First Size L1	10																																																																																										
Size Increment Linc	5																																																																																										
Number of size clases	29																																																																																										
																																																																																											
Area attributes																																																																																											
Area index	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91
Surface habitat (m2)	524100	2911680	1384155	762000	1794520	1592000	683800	1229420	3567600	5302000	1752450	343540	225000	170000	826000	143000	407000	294450	94000	188000	319570	955824	986700	712000	4862025	1213100	160480	530300	3831750	436060	57914	63176	418225	542535	3995360	323500	426108	2660415	2009400	2773500	896180	578114	2610100	1093800	818500	1289000	1095000	6402000	2163000	4612734	1060340	975876	805464	811164	1905400	6080061	1119000	2978724	1179500	1128576	700000	2851830	899000	972790	346708	1818954	586550	959000	2999325	993500	232900	1608520	3835500	549000	1440000	309255	1443450	1172000	641000	511000	998400	963000	865376	549000	596454	1242700	2980500	403800	1764030	1257000	594700
Latitude	28.9822	29.0278	29.0299	29.0778	29.1433	29.1944	29.2218	29.2323	29.2639	29.2425	29.3803	29.4094	29.4158	29.419	29.4272	29.4394	29.4541	29.4649	29.4789	29.4861	29.4961	29.5294	29.5412	29.5694	29.5704	29.6119	29.6428	29.6664	29.7528	29.9311	29.94	29.9282	29.9222	29.9554	30.014	30.0652	30.091	30.2141	30.2657	30.2885	30.3327	30.3647	30.4154	30.4675	30.4875	30.5179	30.5441	30.6233	30.7181	30.7995	30.8732	30.9024	30.9276	30.9466	30.9797	31.0639	31.1332	31.1751	31.2294	31.2609	31.2806	31.3445	31.416	31.4554	31.5012	31.5582	31.6293	31.6535	31.6985	31.7386	31.7454	31.7885	31.8282	31.8461	31.8511	31.8667	31.8677	31.9085	31.9136	31.9218	31.9371	31.9491	31.9568	31.968	31.9867	32.0118	32.0498	32.0804	32.096	32.1433	32.1639
Longitude	71.5152	71.4956	71.5772	71.487	71.4808	71.4871	71.4689	71.4972	71.5136	71.4506	71.3265	71.3559	71.3204	71.3139	71.3067	71.304	71.3152	71.3124	71.3126	71.3321	71.3311	71.3287	71.3366	71.3191	71.4421	71.3126	71.3137	71.3159	71.3039	71.3385	71.3521	71.3567	71.3501	71.3569	71.3742	71.378	71.3748	71.4521	71.6308	71.6557	71.6699	71.6771	71.6824	71.6911	71.6909	71.6902	71.6979	71.7017	71.7007	71.6915	71.6803	71.6799	71.6727	71.6613	71.6519	71.6508	71.6601	71.6553	71.6393	71.6341	71.6352	71.6222	71.6041	71.59	71.5758	71.5736	71.5533	71.5545	71.5478	71.5383	71.5275	71.5159	71.5394	71.5527	71.5384	71.554	71.5066	71.5108	71.5159	71.5156	71.5196	71.5114	71.4961	71.496	71.5089	71.518	71.5188	71.523	71.5218	71.5285	71.5317
Population Dynamics																																																																																											
Recruitment (1: constant; 2: denso-dep)	2																																																																																										
Recruitment CV	0.6																																																																																										
Recruitment Temporal Correlation	0																																																																																										
Spatial? Leer una matriz?																																																																																											
Type of Growth (1: density-ind; 2:denso-dep)	1																																																																																										
Method to calculate size composition of plus group (1: age-based; 2: size-based) 	2																																																																																										
																																																																																											
Global Parameters																																																																																											
Age of 100% Mature	1																																																																																										
Lambda_ProdXBiomasa	0.8																																																																																										
Handling time for cpue	0																																																																																										
Price per unit of biomass 	1																																																																																										
																																																																																											
Parameters by Biological region																																																																																											
Number of Biological Regions	5																																																																																										
Area index	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91
Biological Region	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Asymptotic Length (Bertalanfy)	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133
"Growth rate, K (Bertalanfy)"	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.442	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.448	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579	0.579
t0	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8
cvmu	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Multiplier L-W Relationship	0.00006	0.00006	0.00006	0.00006	0.00006	0.00006	0.00006	0.00006	0.00006	0.00006	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00005	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009
Exponent L-W Relationtship	3.308	3.308	3.308	3.308	3.308	3.308	3.308	3.308	3.308	3.308	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	3.362	2.66	2.66	2.66	2.66	2.66	2.66	2.66	2.66	2.66	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.32	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18	3.18
