Monte,Area,Region,Year,Catch,Effort,Bvulnerable,Bmature,Larvae,Density,Btotal,Settlers,Depletion_Bvul,Depletion_Bmature,HR,Recruits
1,1,1,2010,0,0,612079.8684,664705.0817,127.3889734,0.001730933,681910.1608,42.17677593,1.026973358,1.04514642,0,0
1,1,1,2011,0,0,587605.2901,651396.5839,124.8384349,0.001638363,650000,186.7092625,0.98590888,1.024220856,0,74.65698804
1,1,1,2012,0,0,589684.9515,639017.7658,122.4660671,0.001627136,650000,224.2923921,0.989398224,1.00475707,0,74.65698804
1,1,1,2013,532398.3341,0,591553.7045,638967.312,122.4563978,0.001616446,650000,192.1557729,0.992533696,1.004677739,0.9,74.65698804
1,1,1,2014,0,0,593304.829,638917.1969,122.4467933,0.001606319,650000,121.7119838,0.995471806,1.004598941,0,74.65698804
1,1,1,2015,0,0,594948.8861,638869.8075,122.4377113,0.001596627,650000,148.273776,0.998230275,1.004524428,0,74.65698804
1,1,1,2016,536836.3298,0,596484.8109,638819.1127,122.4279958,0.001587632,650000,157.5885451,1.000807314,1.004444718,0.9,74.65698804
1,1,1,2017,0,0,597921.1478,624817.64,119.7446505,0.001579187,650000,493.7046737,1.00321726,0.982429558,0,74.65698804
1,1,1,2018,542350.4849,0,602611.6499,635570.8433,121.8054735,0.001575308,650000,162.350899,1.011087182,0.999337315,0.9,74.65698804
1,1,1,2019,540846.6419,0,600940.7133,635653.6855,121.82135,0.001573101,650000,85.88302109,1.008283614,0.999467571,0.9,74.65698804
1,1,1,2020,537253.0167,0,596947.7963,635727.1208,121.8354237,0.001572118,650000,243.1164343,1.00158413,0.999583037,0.9,74.65698804
1,1,1,2021,536921.7358,0,596579.7064,635793.9939,121.8482398,0.001571941,650000,89.97796873,1.000966534,0.999688185,0.9,74.65698804
1,1,1,2022,536765.331,0,596405.9233,635856.8718,121.8602901,0.001572257,650000,190.4229444,1.000674953,0.99978705,0.9,74.65698804
1,1,1,2023,536630.2364,0,596255.8182,635915.2163,121.8714717,0.001572827,650000,161.3361821,1.0004231,0.999878788,0.9,74.65698804
1,1,1,2024,536519.3058,0,596132.562,635970.2495,121.8820187,0.001573513,650000,113.2071171,1.000216296,0.999965319,0.9,74.65698804
1,1,1,2025,536435.0361,0,596038.929,635993.4633,121.8864675,0.001574166,650000,193.8609225,1.000059194,1.00000182,0.9,74.65698804
1,1,1,2026,536381.8578,0,595979.842,636004.338,121.8885516,0.001574805,650000,181.2756439,0.999960056,1.000018918,0.9,74.65698804
1,1,1,2027,536355.9152,0,595951.0169,636007.9959,121.8892527,0.001575326,650000,175.0463784,0.999911692,1.00002467,0.9,74.65698804
1,1,1,2028,536344.689,0,595938.5434,636005.9002,121.888851,0.001575776,650000,291.6913125,0.999890763,1.000021375,0.9,74.65698804
1,1,1,2029,536344.1121,0,595937.9023,636001.6727,121.8880408,0.001576101,650000,191.3337953,0.999889688,1.000014728,0.9,74.65698804
1,1,1,2030,536338.1362,0,595931.2624,635994.9627,121.8867549,0.001576311,649979.1989,74.5361865,0.999878547,1.000004177,0.9,74.5361865
1,1,1,2031,536362.1443,0,595957.9381,636008.2678,121.8893048,0.001576603,650000,138.0331963,0.999923305,1.000025097,0.9,74.65698804
1,1,1,2032,536371.4307,0,595968.2563,635983.5476,121.8845672,0.00157673,650000,140.3326211,0.999940617,0.999986229,0.9,74.65698804
1,1,1,2033,536383.1722,0,595981.3025,635980.5392,121.8839907,0.001576687,650000,226.0194355,0.999962506,0.999981498,0.9,74.65698804
1,1,1,2034,536393.8221,0,595993.1357,635977.6584,121.8834386,0.001576608,650000,279.4062162,0.99998236,0.999976969,0.9,74.65698804
1,1,1,2035,536402.5878,0,596002.8753,635975.133,121.8829546,0.001576522,650000,154.7405381,0.999998702,0.999972998,0.9,74.65698804
1,1,1,2036,536409.4528,0,596010.5032,635973.497,121.882641,0.001576436,650000,113.4177524,1.0000115,0.999970426,0.9,74.65698804
1,1,1,2037,536414.5266,0,596016.1407,635953.8181,121.8788696,0.001576352,650000,100.790829,1.000020959,0.999939484,0.9,74.65698804
1,1,1,2038,536421.8266,0,596024.2518,635971.0554,121.8821731,0.001576279,650000,215.7238647,1.000034568,0.999966587,0.9,74.65698804
1,1,1,2039,536419.8525,0,596022.0584,635970.6273,121.8820911,0.001576214,650000,136.7063499,1.000030888,0.999965913,0.9,74.65698804
1,1,1,2040,536415.1649,0,596016.8499,635971.3873,121.8822367,0.001576157,650000,126.1248381,1.000022149,0.999967108,0.9,74.65698804
1,1,1,2041,536414.7933,0,596016.437,635972.3566,121.8824225,0.001576107,650000,127.1537625,1.000021456,0.999968633,0.9,74.65698804
1,1,1,2042,536414.0681,0,596015.6312,635973.3347,121.8826099,0.001576062,650000,452.8016526,1.000020104,0.99997017,0.9,74.65698804
1,1,1,2043,536413.2164,0,596014.6849,635974.2881,121.8827927,0.001576022,650000,333.4611987,1.000018517,0.99997167,0.9,74.65698804
1,1,1,2044,536412.3796,0,596013.7552,635975.1947,121.8829664,0.001575986,650000,202.1843452,1.000016957,0.999973095,0.9,74.65698804
1,1,1,2045,536411.6121,0,596012.9023,635976.0041,121.8831215,0.001575952,650000,609.5168589,1.000015526,0.999974368,0.9,74.65698804
1,1,1,2046,536410.9475,0,596012.1639,635976.7412,121.8832628,0.001575921,650000,164.3693983,1.000014287,0.999975527,0.9,74.65698804
1,1,1,2047,536410.3917,0,596011.5464,635977.4114,121.8833912,0.001575892,650000,113.7177301,1.000013251,0.99997658,0.9,74.65698804
1,1,1,2048,536409.929,0,596011.0323,635978.0213,121.8835081,0.001575863,650000,338.2144492,1.000012388,0.999977539,0.9,74.65698804
1,1,1,2049,536409.5486,0,596010.6096,635978.5823,121.8836156,0.001575836,650000,195.5539988,1.000011679,0.999978422,0.9,74.65698804
1,1,1,2050,536409.2325,0,596010.2583,635979.101,121.883715,0.00157581,650000,191.7941539,1.00001109,0.999979237,0.9,74.65698804
1,2,1,2010,0,0,706246.002,766967.4019,146.987277,0.001730933,786819.4164,195.9350569,1.026973358,1.04514642,0,0
1,2,1,2011,0,0,678006.1039,751611.4429,144.044348,0.001638363,750000,120.8866992,0.98590888,1.024220856,0,86.1426785
1,2,1,2012,612365.1419,0,680405.7132,737328.1914,141.3070005,0.001627136,750000,276.6554642,0.989398224,1.00475707,0.9,86.1426785
1,2,1,2013,0,0,679927.7307,737269.9754,141.2958436,0.00159733,745062.435,57.46801508,0.988703175,1.004677739,0,57.46801508
1,2,1,2014,0,0,686425.0473,741990.4485,142.2005098,0.001597922,750000,372.9169244,0.998151117,1.011110327,0,86.1426785
1,2,1,2015,619463.2518,0,688292.502,737261.6716,141.2942522,0.001588361,750000,186.0456087,1.000866638,1.004666423,0.9,86.1426785
1,2,1,2016,0,0,690035.1496,737200.7621,141.282579,0.001579496,750000,164.8675686,1.003400674,1.004583422,0,86.1426785
1,2,1,2017,622496.5309,0,691662.8121,720945.2068,138.1672448,0.001571181,750000,195.4230872,1.005767506,0.982431978,0.9,86.1426785
1,2,1,2018,627365.5692,0,697072.8547,733426.4817,140.5592482,0.001567436,750000,263.044158,1.013634411,0.99944021,0.9,86.1426785
1,2,1,2019,625591.0475,0,695101.1639,733521.2645,140.577413,0.001565363,750000,262.212666,1.010767316,0.999569371,0.9,86.1426785
1,2,1,2020,621393.4812,0,690437.2013,729369.3998,139.7817191,0.001564511,750000,144.2689792,1.003985309,0.993911625,0.9,86.1426785
1,2,1,2021,621869.9429,0,690966.6032,733731.8634,140.6177738,0.001565484,750000,295.1208808,1.004755128,0.999856354,0.9,86.1426785
1,2,1,2022,620660.0674,0,689622.2971,733791.6491,140.6292316,0.001567021,750000,196.5012652,1.002800333,0.999937824,0.9,86.1426785
1,2,1,2023,619140.1967,0,687933.5518,733847.4499,140.6399256,0.001568767,750000,265.1155249,1.000344678,1.000013864,0.9,86.1426785
1,2,1,2024,618936.7068,0,687707.452,733901.2459,140.6502355,0.001570506,750000,266.1443648,1.000015899,1.000087171,0.9,86.1426785
1,2,1,2025,615723.9451,0,684137.7168,733919.7583,140.6537833,0.001546981,743526.1622,48.54618767,0.994825041,1.000112398,0.9,48.54618767
1,2,1,2026,620986.2808,0,689984.7564,740215.7012,141.8603842,0.001562007,750000,135.9564756,1.003327396,1.008691879,0.9,86.1426785
1,2,1,2027,620925.4582,0,689917.1758,734036.1768,140.6760946,0.001563276,750000,355.1141649,1.003229125,1.000271042,0.9,86.1426785
1,2,1,2028,620887.2406,0,689874.7118,734019.5553,140.6729092,0.001564315,750000,171.1466086,1.003167377,1.000248392,0.9,86.1426785
1,2,1,2029,620867.0971,0,689852.3301,734000.3197,140.6692227,0.001565119,750000,162.0198483,1.003134831,1.000222179,0.9,86.1426785
1,2,1,2030,620855.775,0,689839.75,733979.5534,140.6652429,0.001565794,750000,223.8270278,1.003116538,1.000193881,0.9,86.1426785
1,2,1,2031,620847.1025,0,689830.1139,733960.1854,140.6615311,0.001566339,750000,291.1608712,1.003102525,1.000167488,0.9,86.1426785
1,2,1,2032,620839.6967,0,689821.8852,728237.7228,139.5648362,0.001566704,750000,386.8564152,1.00309056,0.992369489,0.9,86.1426785
1,2,1,2033,622026.6982,0,691140.7758,734005.4532,140.6702065,0.001568256,750000,380.7291534,1.005008398,1.000229175,0.9,86.1426785
1,2,1,2034,620658.9551,0,689621.0613,733977.881,140.6649224,0.001569843,750000,126.8446965,1.002798536,1.000191602,0.9,86.1426785
1,2,1,2035,618835.5908,0,687595.1009,733954.5619,140.6604533,0.001571331,750000,858.8842505,0.999852526,1.000159825,0.9,86.1426785
1,2,1,2036,618750.2518,0,687500.2798,733936.4882,140.6569896,0.001572609,750000,429.6855157,0.999714644,1.000135196,0.9,86.1426785
1,2,1,2037,618752.9106,0,687503.234,733921.8113,140.6541768,0.001573669,750000,121.4058172,0.99971894,1.000115196,0.9,86.1426785
1,2,1,2038,618760.9525,0,687512.1695,733910.6564,140.652039,0.001574504,750000,354.0833815,0.999731933,1.000099995,0.9,86.1426785
1,2,1,2039,615793.9182,0,684215.4647,733902.8715,140.650547,0.00155111,743794.0354,50.10184798,0.994938097,1.000089387,0.9,50.10184798
