Monte;Region;Area;Year;HR;Catch;Effort;Bvulnerable;Bmature;Btotal;Larvae;Settlers;Recruits;Density;Depletion_Bvul;Depletion_Bmature
1;1;4;2010;0,486684840670318;20752,8371621773;0;42641,2236994975;44396,5378706944;46340,8860141459;4,09298040025473;7,19842263002524;7,19842263002524;3,60650798986903E-05;2,23117663056162E-02;2,23987810792403E-02
1;1;4;2011;0;0;0;41822,4135696235;44382,4114460588;45147,2854467746;4,09167806493914;1,74097753321793;1,74097753321793;3,48537548732846E-05;0,021883328782454;2,23916540664592E-02
1;1;4;2012;0;0;0;43168,4975157866;45411,9054636963;47156,4343089963;4,18658859261682;12,588047112576;12,588047112576;3,73106160646964E-05;2,25876591892497E-02;2,29110506732534E-02
1;1;4;2013;0,500902597831972;21804,6207248429;0;43530,6600908412;45552,8891575965;47341,2257612688;4,19958608124013;2,18980747962159;2,18980747962159;3,71192682367785E-05;2,27771585994027E-02;2,29821792577527E-02
1;1;4;2014;0;0;0;44442,7317309705;47494,4937447829;48572,7114401238;4,3785853884281;8,27432202917151;8,27432202917151;3,84528379871007E-05;0,023254394652288;0,023961750597696
1;1;4;2015;0;0;0;44944,7913574161;47678,0395015853;49043,1601018819;4,39550673457743;3,98010966111579;3,98010966111579;3,86864481951147E-05;2,35170943612757E-02;2,40543524405832E-02
1;1;4;2016;0,454549926883026;20600,2776797741;0;45320,1649839344;48867,153433074;49284,3011012673;4,50513285068199;2,69548005028828;2,69548005028828;3,8594275208374E-05;2,37135063754147E-02;2,46542799103166E-02
1;1;4;2017;0;0;0;45697,5630889641;49831,6206348524;49537,5552008844;4,59404846308999;2,78872863388168;2,78872863388168;3,85272395149544E-05;2,39109776858758E-02;2,51408694226264E-02
1;1;4;2018;0;0;0;46134,0808019667;49190,2635351231;50092,2928569391;4,53492083366983;4,21720219986278;4,21720219986278;3,88186496086956E-05;0,024139382979059;2,48172942530423E-02
1;1;4;2019;0,455884922818116;21448,8140020593;0;47048,7461385442;51333,1104360352;50905,6750602956;4,73247295793062;6,0230342688616;6,0230342688616;3,95557474132186E-05;2,46179761681612E-02;2,58983956389128E-02
1;1;4;2020;0;0;0;47440,194630647;50176,5736833109;51539,6065803686;4,62585017858548;4,1037872196928;4,1037872196928;3,97984379410172E-05;2,48227992599664E-02;2,53149038898531E-02
1;1;4;2021;0;0;0;48281,2853414966;52131,8199614645;51994,3382443268;4,80610713279804;3,27651460514191;3,27651460514191;3,98295047207518E-05;2,52628949644084E-02;2,63013576864964E-02
1;1;4;2022;0,504564866101424;24755,3980169092;0;49062,8652133163;52059,2862703874;52376,6232184489;4,79942014795247;2,46764874631647;2,46764874631647;3,96577398723252E-05;2,56718519768081E-02;2,62647632504158E-02
1;1;4;2023;0;0;0;49774,3022025065;52353,3085334108;52975,1955428777;4,82652648140799;3,82494155335842;3,82494155335842;3,98286993975371E-05;2,60441071436824E-02;2,64131023015614E-02
1;1;4;2024;0;0;0;51069,938291082;52684,3307680649;54329,1887988067;4,85704389523052;8,57688582809675;8,57688582809675;4,11842597660237E-05;2,67220410094913E-02;2,65801084448776E-02
1;1;4;2025;0,507424847070181;26362,8581106178;0;51954,2120627995;53406,0855266947;55555,8054291488;4,92358349995075;8,33400389334255;8,33400389334255;4,24522577571128E-05;2,71847319933098E-02;2,69442455512108E-02
