Area;Year;Size2;Size3;Size4;Size5;Size6;Size7;Size8;Size9;Size10;Size11;Size12;Size13;Size14;Size15;Size16;Size17;Size18;Size19;Size20;Size21;Size22;Size23;Size24;Size25;Size26;Size27;Size28;Size29;Size30;Size31;Size32;Size33;Size34;Size35;Size36;Size37;Size38;Size39;Size40;Size41;Size42;Size43;Size44;Size45;Size46;Size47;Size48;Size49;Size50;Size51;Size52;Size53;Size54;Size55;Size56;Size57;Size58;Size59;Size60;Size61;Size62;Size63;Size64;Size65;Size66;Size67;Size68;Size69;Size70;Size71;Size72;Size73;Size74;Size75;Size76;Size77;Size78;Size79;Size80;Size81;Size82;Size83;Size84;Size85;Size86;Size87;Size88;Size89;Size90;Size91;Size92;Size93;Size94;Size95;Size96;Size97;Size98;Size99;Size100;Size101;Size102;Size103;Size104;Size105;Size106;Size107;Size108;Size109;Size110;Size111;Size112;Size113;Size114;Size115;Size116;Size117;Size118;Size119;Size120;Size121
1;2010;8,32413699326102E-03;8,32442628943381E-03;8,32471216768332E-03;8,32499462764258E-03;8,32527366894928E-03;8,32554929124576E-03;8,32582149417902E-03;8,32609027740073E-03;8,32635564056721E-03;8,32661758333945E-03;8,32687610538309E-03;8,32713120636847E-03;8,32738288597056E-03;8,32763114386899E-03;8,3278759797481E-03;8,32811739329685E-03;8,32835538420889E-03;8,32858995218255E-03;8,32882109692081E-03;8,32904881813133E-03;8,32927311552643E-03;8,32949398882311E-03;8,32971143774306E-03;8,3299254620126E-03;8,33013606136276E-03;8,33034323552923E-03;8,33054698425238E-03;8,33074730727725E-03;8,33094420435356E-03;8,33113767523571E-03;8,33132771968277E-03;8,33151433745849E-03;8,33169752833129E-03;8,3318772920743E-03;8,33205362846528E-03;8,33222653728672E-03;8,33239601832575E-03;8,3325620713742E-03;8,33272469622859E-03;8,33288389269011E-03;8,33303966056462E-03;8,33319199966269E-03;8,33334090979955E-03;8,33348639079512E-03;8,33362844247402E-03;8,33376706466553E-03;8,33390225720362E-03;8,33403401992696E-03;8,33416235267889E-03;8,33428725530744E-03;8,33440872766533E-03;8,33452676960995E-03;8,33464138100341E-03;8,33475256171247E-03;8,3348603116086E-03;8,33496463056795E-03;8,33506551847135E-03;8,33516297520433E-03;8,33525700065711E-03;8,33534759472457E-03;8,33543475730633E-03;8,33551848830664E-03;8,33559878763449E-03;8,33567565520352E-03;8,33574909093207E-03;8,33581909474319E-03;8,33588566656459E-03;8,33594880632869E-03;8,33600851397259E-03;8,33606478943807E-03;8,33611763267162E-03;8,33616704362441E-03;8,33621302225229E-03;8,33625556851582E-03;8,33629468238022E-03;8,33633036381544E-03;8,33636261279608E-03;8,33639142930145E-03;8,33641681331555E-03;8,33643876482707E-03;8,33645728382936E-03;8,33647237032051E-03;8,33648402430327E-03;8,33649224578507E-03;8,33649703477804E-03;8,33649839129901E-03;8,33649631536948E-03;8,33649080701565E-03;8,33648186626841E-03;8,33646949316332E-03;8,33645368774065E-03;8,33643445004533E-03;8,33641178012702E-03;8,33638567804004E-03;8,33635614384338E-03;8,33632317760075E-03;8,33628677938053E-03;8,33624694925579E-03;8,33620368730429E-03;8,33615699360846E-03;8,33610686825542E-03;8,33605331133699E-03;8,33599632294967E-03;8,33593590319463E-03;8,33587205217773E-03;8,33580477000951E-03;8,33573405680521E-03;8,33565991268474E-03;8,33558233777269E-03;8,33550133219833E-03;8,33541689609562E-03;8,3353290296032E-03;8,33523773286437E-03;8,33514300602715E-03;8,3350448492442E-03;8,33494326267287E-03;8,3348382464752E-03;8,3347298008179E-03;8,33461792587235E-03;8,33450262181462E-03
2;2010;8,32430131313763E-03;8,32459853546208E-03;8,32489206888332E-03;8,32518191297637E-03;8,32546806732232E-03;8,32575053150831E-03;8,32602930512754E-03;8,32630438777927E-03;8,32657577906881E-03;8,32684347860756E-03;8,32710748601294E-03;8,32736780090848E-03;8,32762442292375E-03;8,32787735169439E-03;8,32812658686211E-03;8,3283721280747E-03;8,32861397498599E-03;8,32885212725592E-03;8,32908658455047E-03;8,32931734654171E-03;8,32954441290779E-03;8,32976778333291E-03;8,32998745750737E-03;8,33020343512754E-03;8,33041571589586E-03;8,33062429952087E-03;8,33082918571716E-03;8,33103037420542E-03;8,33122786471241E-03;0,008331421656971;8,33161175072009E-03;8,33179814570472E-03;8,33198084167598E-03;8,33215983839106E-03;8,33233513561322E-03;8,33250673311181E-03;8,33267463066229E-03;8,33283882804618E-03;8,33299932505109E-03;8,33315612147074E-03;8,33330921710492E-03;8,33345861175951E-03;8,33360430524649E-03;8,33374629738391E-03;8,33388458799595E-03;8,33401917691284E-03;8,33415006397092E-03;8,33427724901262E-03;8,33440073188646E-03;8,33452051244707E-03;8,33463659055514E-03;8,33474896607749E-03;8,33485763888699E-03;8,33496260886265E-03;8,33506387588955E-03;8,33516143985885E-03;8,33525530066784E-03;8,33534545821988E-03;8,33543191242442E-03;8,33551466319703E-03;8,33559371045934E-03;8,33566905413911E-03;8,33574069417016E-03;8,33580863049244E-03;8,33587286305197E-03;8,33593339180087E-03;8,33599021669736E-03;8,33604333770575E-03;8,33609275479644E-03;8,33613846794594E-03;8,33618047713684E-03;8,33621878235781E-03;8,33625338360366E-03;8,33628428087524E-03;8,33631147417953E-03;8,33633496352958E-03;8,33635474894455E-03;8,33637083044969E-03;8,33638320807633E-03;8,33639188186189E-03;8,3363968518499E-03;8,33639811808997E-03;8,3363956806378E-03;8,33638953955517E-03;8,33637969490997E-03;8,33636614677617E-03;8,33634889523382E-03;8,33632794036906E-03;8,33630328227413E-03;8,33627492104735E-03;8,33624285679311E-03;8,33620708962191E-03;8,33616761965032E-03;0,008336124447001;8,33607757180269E-03;8,33602699419022E-03;8,33597271430448E-03;8,33591473229247E-03;8,33585304830724E-03;8,33578766250796E-03;8,33571857505983E-03;8,33564578613417E-03;8,33556929590834E-03;8,33548910456581E-03;8,33540521229611E-03;8,33531761929483E-03;8,33522632576365E-03;8,33513133191033E-03;8,33503263794867E-03;8,33493024409857E-03;8,33482415058599E-03;8,33471435764295E-03;8,33460086550754E-03;8,33448367442391E-03;8,3343627846423E-03;8,33423819641899E-03;8,33410991001631E-03;8,33397792570268E-03;8,33384224375257E-03;8,3337028644465E-03
3;2010;8,32419174369111E-03;8,32448367404636E-03;8,3247720963609E-03;8,32505701024844E-03;8,32533841532785E-03;8,32561631122309E-03;8,32589069756328E-03;8,32616157398263E-03;8,3264289401205E-03;8,32669279562138E-03;8,32695314013488E-03;8,32720997331574E-03;8,32746329482385E-03;8,3277131043242E-03;8,32795940148695E-03;8,32820218598735E-03;8,32844145750582E-03;8,32867721572792E-03;8,32890946034431E-03;8,32913819105082E-03;8,3293634075484E-03;8,32958510954315E-03;8,3298032967463E-03;8,33001796887424E-03;8,33022912564847E-03;8,33043676679566E-03;8,3306408920476E-03;8,33084150114124E-03;8,33103859381867E-03;8,33123216982711E-03;8,33142222891895E-03;8,33160877085171E-03;8,33179179538806E-03;8,33197130229582E-03;8,33214729134794E-03;8,33231976232254E-03;8,33248871500288E-03;8,33265414917737E-03;8,33281606463956E-03;8,33297446118817E-03;8,33312933862705E-03;8,33328069676522E-03;8,33342853541683E-03;8,33357285440119E-03;8,33371365354279E-03;8,33385093267122E-03;8,33398469162126E-03;8,33411493023285E-03;8,33424164835104E-03;8,33436484582608E-03;8,33448452251335E-03;8,33460067827339E-03;8,3347133129719E-03;8,33482242647973E-03;8,33492801867287E-03;8,3350300894325E-03;8,33512863864493E-03;8,33522366620164E-03;8,33531517199925E-03;8,33540315593955E-03;8,33548761792947E-03;8,33556855788113E-03;8,33564597571177E-03;8,3357198713438E-03;8,3357902447048E-03;8,33585709572749E-03;8,33592042434974E-03;8,33598023051461E-03;8,33603651417029E-03;8,33608927527013E-03;8,33613851377264E-03;8,33618422964149E-03;8,3362264228455E-03;8,33626509335866E-03;8,3363002411601E-03;8,33633186623412E-03;8,33635996857017E-03;8,33638454816285E-03;8,33640560501194E-03;8,33642313912234E-03;8,33643715050414E-03;8,33644763917256E-03;8,33645460514801E-03;0,008336458048456;8,33645796912725E-03;8,33645436719761E-03;8,33644724270808E-03;8,33643659570483E-03;8,33642242623916E-03;8,33640473436755E-03;8,33638352015162E-03;8,33635878365815E-03;8,33633052495905E-03;8,33629874413141E-03;8,33626344125747E-03;8,3362246164246E-03;8,33618226972533E-03;8,33613640125735E-03;8,3360870111235E-03;8,33603409943175E-03;8,33597766629524E-03;8,33591771183225E-03;8,33585423616621E-03;8,33578723942568E-03;8,3357167217444E-03;8,33564268326124E-03;8,3355651241202E-03;8,33548404447044E-03;8,33539944446628E-03;8,33531132426715E-03;8,33521968403764E-03;8,3351245239475E-03;8,33502584417159E-03;8,33492364488993E-03;8,33481792628767E-03;8,33470868855512E-03;8,33459593188769E-03;8,33447965648597E-03;8,33435986255567E-03;8,33423655030762E-03
4;2010;8,32454417830744E-03;8,32485310802125E-03;8,32515794851251E-03;8,32545869927056E-03;8,32575535979286E-03;8,32604792958498E-03;8,32633640816063E-03;8,32662079504164E-03;8,32690108975798E-03;8,32717729184773E-03;8,32744940085712E-03;8,3277174163405E-03;8,32798133786036E-03;8,32824116498735E-03;8,32849689730022E-03;8,32874853438588E-03;8,32899607583939E-03;8,32923952126394E-03;8,32947887027086E-03;8,32971412247965E-03;8,32994527751793E-03;8,33017233502149E-03;8,33039529463427E-03;8,33061415600835E-03;8,33082891880396E-03;8,33103958268949E-03;8,3312461473415E-03;8,33144861244468E-03;8,33164697769191E-03;8,33184124278419E-03;8,3320314074307E-03;8,3322174713488E-03;8,33239943426397E-03;8,33257729590989E-03;8,33275105602837E-03;8,33292071436941E-03;8,33308627069117E-03;8,33324772475997E-03;8,3334050763503E-03;8,33355832524481E-03;8,33370747123433E-03;8,33385251411784E-03;8,3339934537025E-03;8,33413028980366E-03;8,33426302224481E-03;8,33439165085761E-03;8,33451617548191E-03;8,33463659596572E-03;8,33475291216522E-03;8,33486512394477E-03;8,3349732311769E-03;8,33507723374231E-03;8,33517713152986E-03;8,33527292443661E-03;8,33536461236777E-03;8,33545219523673E-03;8,33553567296506E-03;8,33561504548249E-03;8,33569031272692E-03;8,33576147464446E-03;8,33582853118933E-03;8,33589148232399E-03;8,33595032801901E-03;8,33600506825318E-03;8,33605570301345E-03;8,33610223229491E-03;8,33614465610086E-03;8,33618297444276E-03;8,33621718734023E-03;8,33624729482107E-03;8,33627329692125E-03;8,3362951936849E-03;8,33631298516433E-03;8,33632667142001E-03;8,33633625252058E-03;8,33634172854284E-03;8,33634309957176E-03;8,33634036570048E-03;8,33633352703031E-03;8,3363225836707E-03;8,33630753573928E-03;8,33628838336183E-03;8,33626512667232E-03;8,33623776581285E-03;8,33620630093367E-03;8,33617073219322E-03;8,33613105975809E-03;8,33608728380299E-03;8,33603940451084E-03;8,33598742207266E-03;8,33593133668766E-03;8,33587114856319E-03;8,33580685791473E-03;8,33573846496593E-03;8,33566596994859E-03;8,33558937310263E-03;8,33550867467614E-03;8,33542387492534E-03;8,33533497411458E-03;8,33524197251637E-03;8,33514487041135E-03;8,33504366808829E-03;8,33493836584409E-03;8,3348289639838E-03;8,33471546282059E-03;8,33459786267576E-03;8,33447616387873E-03;8,33435036676705E-03;8,3342204716864E-03;8,33408647899057E-03;8,33394838904148E-03;8,33380620220917E-03;8,33365991887177E-03;8,33350953941554E-03;8,33335506423487E-03;8,33319649373223E-03;8,3330338283182E-03;8,33286706841147E-03;8,33269621443884E-03;8,3325212668352E-03
1;2011;8,32427850579061E-03;8,32457314460341E-03;8,32486416972268E-03;8,32515158073726E-03;8,32543537724177E-03;8,32571555883661E-03;8,32599212512798E-03;8,32626507572785E-03;8,32653441025397E-03;8,32680012832992E-03;8,32706222958503E-03;8,32732071365444E-03;8,32757558017907E-03;8,32782682880564E-03;8,32807445918667E-03;8,32831847098047E-03;8,32855886385115E-03;8,32879563746861E-03;8,32902879150856E-03;8,32925832565249E-03;8,32948423958772E-03;8,32970653300735E-03;8,32992520561028E-03;8,33014025710122E-03;8,33035168719069E-03;8,33055949559501E-03;8,3307636820363E-03;8,33096424624249E-03;8,33116118794732E-03;8,33135450689034E-03;8,3315442028169E-03;8,33173027547815E-03;8,33191272463108E-03;8,33209155003847E-03;8,33226675146892E-03;8,33243832869682E-03;8,3326062815024E-03;8,3327706096717E-03;8,33293131299655E-03;8,33308839127461E-03;8,33324184430936E-03;8,33339167191009E-03;8,33353787389189E-03;8,3336804500757E-03;8,33381940028824E-03;8,33395472436207E-03;8,33408642213555E-03;8,33421449345288E-03;8,33433893816406E-03;8,33445975612491E-03;8,33457694719707E-03;0,008334690511248;8,33480044815098E-03;8,33490675778511E-03;8,33500944003529E-03;8,33510849479227E-03;8,3352039219526E-03;8,33529572141865E-03;8,33538389309863E-03;8,33546843690653E-03;8,3355493527622E-03;8,33562664059129E-03;8,33570030032527E-03;8,33577033190144E-03;8,3358367352629E-03;8,3358995103586E-03;8,33595865714328E-03;8,33601417557752E-03;8,33606606562771E-03;8,33611432726606E-03;8,3361589604706E-03;8,33619996522519E-03;8,33623734151948E-03;8,33627108934897E-03;8,33630120871497E-03;8,3363276996246E-03;8,3363505620908E-03;8,33636979613234E-03;8,33638540177378E-03;8,33639737904553E-03;8,33640572798379E-03;8,3364104486306E-03;8,33641154103379E-03;8,33640900524703E-03;8,33640284132979E-03;8,33639304934736E-03;8,33637962937083E-03;8,33636258147713E-03;8,33634190574898E-03;8,33631760227493E-03;8,33628967114933E-03;8,33625811247233E-03;8,33622292634993E-03;8,33618411289389E-03;8,33614167222182E-03;8,33609560445711E-03;8,33604590972898E-03;8,33599258817245E-03;8,33593563992833E-03;8,33587506514326E-03;8,33581086396967E-03;8,3357430365658E-03;8,3356715830957E-03;8,33559650372919E-03;8,33551779864194E-03;8,33543546801539E-03;8,33534951203677E-03;8,33525993089914E-03;8,33516672480134E-03;0,008335069893948;8,33496943854955E-03;8,33486535882224E-03;8,33475765498808E-03;8,33464632727488E-03;8,33453137591625E-03;8,3344128011516E-03;8,33429060322609E-03;8,33416478239071E-03;8,33403533890222E-03;8,33390227302317E-03
2;2011;8,32422095013721E-03;8,32451525764101E-03;8,32480598439625E-03;8,32509313000259E-03;8,32537669406515E-03;8,32565667619443E-03;8,32593307600641E-03;8,32620589312244E-03;8,32647512716933E-03;8,32674077777931E-03;8,32700284459002E-03;8,32726132724456E-03;8,32751622539144E-03;8,3277675386846E-03;8,32801526678342E-03;8,32825940935272E-03;8,32849996606274E-03;8,32873693658916E-03;8,3289703206131E-03;8,3292001178211E-03;8,32942632790516E-03;8,32964895056271E-03;8,32986798549662E-03;8,33008343241519E-03;8,33029529103217E-03;8,33050356106676E-03;8,33070824224358E-03;8,3309093342927E-03;8,33110683694966E-03;8,3313007499554E-03;8,33149107305635E-03;8,33167780600435E-03;8,33186094855671E-03;8,33204050047616E-03;8,33221646153092E-03;8,33238883149461E-03;8,33255761014633E-03;8,33272279727062E-03;8,33288439265748E-03;8,33304239610233E-03;8,33319680740608E-03;8,33334762637507E-03;8,33349485282109E-03;8,33363848656139E-03;8,33377852741866E-03;8,33391497522106E-03;8,3340478298022E-03;8,33417709100113E-03;8,33430275866236E-03;8,33442483263587E-03;8,33454331277707E-03;8,33465819894685E-03;8,33476949101153E-03;8,3348771888429E-03;8,33498129231821E-03;8,33508180132015E-03;8,33517871573689E-03;8,33527203546202E-03;8,33536176039463E-03;8,33544789043924E-03;8,33553042550582E-03;8,33560936550983E-03;8,33568471037214E-03;8,33575646001913E-03;8,33582461438259E-03;8,3358891733998E-03;8,33595013701348E-03;8,3360075051718E-03;8,33606127782843E-03;8,33611145494243E-03;8,33615803647838E-03;8,33620102240629E-03;8,33624041270161E-03;8,33627620734528E-03;8,33630840632368E-03;8,33633700962864E-03;8,33636201725746E-03;8,3363834292129E-03;8,33640124550315E-03;8,33641546614189E-03;8,33642609114823E-03;8,33643312054674E-03;8,33643655436747E-03;8,33643639264588E-03;8,33643263542292E-03;8,33642528274499E-03;8,33641433466394E-03;8,33639979123705E-03;8,3363816525271E-03;8,33635991860229E-03;8,33633458953627E-03;8,33630566540817E-03;8,33627314630254E-03;8,3362370323094E-03;8,33619732352422E-03;8,33615402004792E-03;8,33610712198686E-03;8,33605662945285E-03;8,33600254256316E-03;8,33594486144051E-03;8,33588358621305E-03;8,33581871701439E-03;8,33575025398359E-03;8,33567819726513E-03;8,33560254700898E-03;8,33552330337051E-03;8,33544046651055E-03;8,33535403659539E-03;8,33526401379674E-03;8,33517039829176E-03;8,33507319026305E-03;8,33497238989865E-03;8,33486799739203E-03;8,33476001294212E-03;8,33464843675328E-03;8,33453326903528E-03;8,33441451000337E-03;8,33429215987819E-03;8,33416621888586E-03;8,33403668725789E-03
3;2011;8,32423767064185E-03;8,32453113462354E-03;8,32482103210539E-03;8,32510736268757E-03;8,32539012597575E-03;8,32566932158104E-03;8,32594494912004E-03;8,32621700821486E-03;8,32648549849306E-03;8,32675041958768E-03;8,32701177113728E-03;8,32726955278586E-03;8,32752376418294E-03;8,32777440498351E-03;8,32802147484805E-03;8,32826497344254E-03;8,32850490043843E-03;8,32874125551268E-03;8,32897403834773E-03;8,32920324863152E-03;8,32942888605748E-03;8,32965095032452E-03;8,32986944113708E-03;8,33008435820506E-03;8,33029570124388E-03;8,33050346997444E-03;8,33070766412315E-03;8,33090828342193E-03;8,33110532760817E-03;8,33129879642478E-03;8,33148868962017E-03;8,33167500694824E-03;8,33185774816842E-03;8,3320369130456E-03;8,33221250135022E-03;8,33238451285819E-03;8,33255294735094E-03;8,3327178046154E-03;8,33287908444401E-03;8,3330367866347E-03;8,33319091099094E-03;8,33334145732168E-03;8,33348842544139E-03;8,33363181517003E-03;8,33377162633309E-03;8,33390785876156E-03;8,33404051229194E-03;8,33416958676624E-03;8,33429508203198E-03;8,33441699794219E-03;8,33453533435541E-03;8,33465009113568E-03;8,33476126815257E-03;8,33486886528116E-03;8,33497288240203E-03;8,33507331940127E-03;8,33517017617049E-03;8,33526345260682E-03;8,33535314861288E-03;8,33543926409682E-03;8,3355217989723E-03;8,33560075315849E-03;8,33567612658006E-03;8,33574791916722E-03;8,33581613085567E-03;8,33588076158663E-03;8,33594181130683E-03;8,33599927996852E-03;8,33605316752947E-03;8,33610347395292E-03;8,33615019920768E-03;8,33619334326803E-03;8,33623290611378E-03;8,33626888773025E-03;8,33630128810828E-03;8,3363301072442E-03;8,33635534513987E-03;8,33637700180265E-03;8,33639507724543E-03;8,33640957148659E-03;8,33642048455002E-03;8,33642781646513E-03;8,33643156726685E-03;8,3364317369956E-03;8,33642832569731E-03;8,33642133342344E-03;8,33641076023093E-03;8,33639660618225E-03;8,33637887134537E-03;8,33635755579376E-03;8,33633265960641E-03;8,3363041828678E-03;8,33627212566794E-03;8,33623648810232E-03;8,33619727027195E-03;8,33615447228334E-03;8,3361080942485E-03;8,33605813628495E-03;8,33600459851569E-03;8,33594748106927E-03;8,33588678407968E-03;8,33582250768646E-03;8,33575465203463E-03;8,3356832172747E-03;8,33560820356269E-03;8,33552961106013E-03;8,33544743993401E-03;8,33536169035685E-03;8,33527236250664E-03;8,3351794565669E-03;8,3350829727266E-03;8,33498291118024E-03;8,33487927212778E-03;8,33477205577469E-03;8,33466126233192E-03;8,33454689201593E-03;8,33442894504863E-03;8,33430742165746E-03;8,33418232207532E-03;8,33405364654059E-03
4;2011;8,32437136288909E-03;8,32467649793511E-03;0,008324977713645;8,3252750095515E-03;8,32556838519426E-03;8,32585784011981E-03;8,32614337388156E-03;8,32642498603984E-03;8,32670267616185E-03;8,3269764438217E-03;8,32724628860038E-03;8,32751221008581E-03;8,32777420787279E-03;8,32803228156301E-03;8,32828643076509E-03;8,32853665509453E-03;8,32878295417375E-03;8,32902532763207E-03;8,32926377510572E-03;8,32949829623785E-03;8,32972889067849E-03;8,3299555580846E-03;8,33017829812006E-03;8,33039711045566E-03;8,33061199476909E-03;8,33082295074496E-03;8,33102997807481E-03;8,33123307645708E-03;8,33143224559714E-03;8,33162748520727E-03;8,33181879500667E-03;8,33200617472148E-03;8,33218962408474E-03;8,33236914283641E-03;8,33254473072339E-03;8,33271638749948E-03;8,33288411292545E-03;8,33304790676893E-03;8,33320776880454E-03;8,33336369881378E-03;8,33351569658509E-03;8,33366376191386E-03;8,33380789460238E-03;8,33394809445987E-03;8,33408436130249E-03;8,33421669495334E-03;8,33434509524243E-03;8,3344695620067E-03;8,33459009509004E-03;8,33470669434325E-03;8,33481935962407E-03;8,33492809079719E-03;8,33503288773419E-03;8,33513375031363E-03;8,33523067842096E-03;8,3353236719486E-03;8,33541273079587E-03;8,33549785486905E-03;8,33557904408135E-03;8,33565629835288E-03;8,33572961761072E-03;8,33579900178889E-03;8,3358644508283E-03;8,33592596467683E-03;8,33598354328928E-03;8,33603718662738E-03;8,33608689465982E-03;8,33613266736218E-03;0,008336174504717;8,33621240671375E-03;8,33624637334883E-03;8,33627640462557E-03;8,33630250055423E-03;8,33632466115202E-03;8,33634288644306E-03;8,3363571764584E-03;8,33636753123604E-03;8,3363739508209E-03;8,33637643526483E-03;8,33637498462661E-03;8,33636959897193E-03;8,33636027837346E-03;8,33634702291073E-03;8,33632983267026E-03;8,33630870774545E-03;8,33628364823666E-03;8,33625465425115E-03;8,33622172590313E-03;8,33618486331371E-03;8,33614406661093E-03;8,33609933592976E-03;8,3360506714121E-03;8,33599807320675E-03;8,33594154146944E-03;8,33588107636283E-03;8,33581667805648E-03;8,33574834672689E-03;8,33567608255744E-03;8,33559988573847E-03;8,33551975646722E-03;8,33543569494782E-03;8,33534770139134E-03;8,33525577601576E-03;8,33515991904596E-03;8,33506013071374E-03;8,3349564112578E-03;8,33484876092375E-03;8,3347371799641E-03;8,33462166863829E-03;8,33450222721263E-03;8,33437885596035E-03;8,33425155516159E-03;8,33412032510338E-03;8,33398516607963E-03;8,33384607839119E-03;8,33370306234576E-03;8,33355611825797E-03;8,33340524644932E-03;8,33325044724822E-03;8,33309172098994E-03
1;2012;8,32426545476768E-03;8,3245605753463E-03;8,32485207559134E-03;8,32513995509212E-03;8,3254242134437E-03;8,32570485024682E-03;8,32598186510796E-03;8,32625525763932E-03;8,3265250274588E-03;8,32679117419006E-03;8,32705369746245E-03;8,32731259691104E-03;8,32756787217665E-03;8,32781952290582E-03;8,32806754875079E-03;8,32831194936957E-03;8,32855272442586E-03;8,32878987358911E-03;8,32902339653451E-03;8,32925329294296E-03;8,32947956250109E-03;8,3297022049013E-03;8,32992121984168E-03;8,33013660702609E-03;8,3303483661641E-03;8,33055649697102E-03;8,33076099916792E-03;8,3309618724816E-03;8,33115911664457E-03;8,33135273139512E-03;8,33154271647726E-03;8,33172907164074E-03;8,33191179664106E-03;8,33209089123946E-03;8,33226635520292E-03;8,33243818830417E-03;8,33260639032167E-03;8,33277096103965E-03;8,33293190024807E-03;8,33308920774262E-03;8,33324288332477E-03;8,33339292680171E-03;8,33353933798639E-03;8,33368211669752E-03;8,33382126275953E-03;8,33395677600261E-03;8,33408865626271E-03;8,33421690338152E-03;8,33434151720648E-03;8,33446249759078E-03;8,33457984439337E-03;8,33469355747894E-03;8,33480363671792E-03;8,33491008198652E-03;8,33501289316668E-03;8,3351120701461E-03;8,33520761281823E-03;8,33529952108227E-03;8,33538779484318E-03;8,33547243401165E-03;8,33555343850416E-03;8,3356308082429E-03;8,33570454315584E-03;8,33577464317671E-03;8,33584110824495E-03;8,33590393830581E-03;8,33596313331024E-03;8,33601869321498E-03;8,33607061798249E-03;8,33611890758102E-03;8,33616356198455E-03;8,3362045811728E-03;8,33624196513126E-03;8,33627571385118E-03;8,33630582732954E-03;8,33633230556908E-03;8,33635514857829E-03;8,33637435637141E-03;8,33638992896845E-03;8,33640186639513E-03;8,33641016868296E-03;8,33641483586917E-03;8,33641586799676E-03;8,33641326511446E-03;8,33640702727678E-03;8,33639715454394E-03;8,33638364698193E-03;8,33636650466248E-03;8,33634572766307E-03;8,33632131606693E-03;8,33629326996302E-03;8,33626158944607E-03;8,33622627461652E-03;8,3361873255806E-03;8,33614474245023E-03;8,33609852534313E-03;8,33604867438271E-03;8,33599518969815E-03;8,33593807142437E-03;8,33587731970203E-03;8,33581293467751E-03;8,33574491650296E-03;8,33567326533623E-03;8,33559798134095E-03;8,33551906468645E-03;8,33543651554782E-03;8,33535033410587E-03;8,33526052054715E-03;8,33516707506395E-03;8,33506999785427E-03;8,33496928912186E-03;8,3348649490762E-03;8,33475697793249E-03;8,33464537591166E-03;8,33453014324038E-03;8,33441128015103E-03;8,33428878688171E-03;8,33416266367628E-03;8,33403291078428E-03;8,33389952846099E-03
2;2012;8,3241685635253E-03;8,32445978443287E-03;8,32474752516515E-03;8,32503178534236E-03;8,32531256458966E-03;8,32558986253719E-03;8,32586367882004E-03;8,32613401307825E-03;8,32640086495685E-03;8,3266642341058E-03;8,32692412018003E-03;8,32718052283944E-03;8,32743344174888E-03;8,32768287657819E-03;8,32792882700216E-03;8,32817129270053E-03;8,32841027335804E-03;8,32864576866437E-03;8,32887777831418E-03;8,32910630200711E-03;8,32933133944776E-03;8,32955289034568E-03;8,32977095441544E-03;8,32998553137654E-03;8,33019662095348E-03;8,3304042228757E-03;8,33060833687765E-03;8,33080896269875E-03;8,33100610008338E-03;8,3311997487809E-03;8,33138990854565E-03;8,33157657913696E-03;8,33175976031912E-03;8,3319394518614E-03;8,33211565353806E-03;8,33228836512834E-03;8,33245758641644E-03;8,33262331719157E-03;8,3327855572479E-03;8,3329443063846E-03;8,33309956440579E-03;8,33325133112062E-03;8,33339960634317E-03;8,33354438989255E-03;8,33368568159283E-03;8,33382348127307E-03;8,3339577887673E-03;8,33408860391457E-03;8,33421592655888E-03;8,33433975654923E-03;8,33446009373962E-03;0,008334576937989;8,33469028916135E-03;8,3348001471256E-03;8,33490651175569E-03;8,33500938293053E-03;8,33510876053405E-03;8,33520464445513E-03;8,33529703458765E-03;8,33538593083049E-03;8,3354713330875E-03;8,33555324126754E-03;8,33563165528445E-03;8,33570657505704E-03;8,33577800050913E-03;8,33584593156953E-03;8,33591036817203E-03;8,33597131025541E-03;8,33602875776344E-03;8,33608271064487E-03;8,33613316885347E-03;8,33618013234796E-03;8,33622360109207E-03;8,33626357505453E-03;8,33630005420902E-03;8,33633303853426E-03;8,33636252801391E-03;8,33638852263665E-03;8,33641102239614E-03;8,33643002729104E-03;8,33644553732497E-03;8,33645755250656E-03;8,33646607284943E-03;8,33647109837217E-03;8,33647262909838E-03;8,33647066505664E-03;8,33646520628049E-03;8,33645625280851E-03;8,33644380468421E-03;8,33642786195614E-03;8,33640842467779E-03;8,33638549290766E-03;8,33635906670924E-03;8,33632914615099E-03;8,33629573130637E-03;8,33625882225381E-03;8,33621841907672E-03;8,33617452186353E-03;8,3361271307076E-03;8,33607624570732E-03;8,33602186696603E-03;8,33596399459208E-03;8,33590262869878E-03;8,33583776940442E-03;8,33576941683229E-03;8,33569757111064E-03;8,33562223237272E-03;8,33554340075674E-03;8,33546107640589E-03;8,33537525946835E-03;8,33528595009727E-03;8,33519314845079E-03;0,008335096854692;8,33499706898898E-03;8,33489379151479E-03;8,33478702244746E-03;8,33467676196998E-03;8,33456301027035E-03;8,33444576754149E-03;8,33432503398134E-03
