Monte;Year;HR;Catch;Effort;Bvulnerable;Bmature;Btotal;Larvae;Settlers;Recruits;Density;Depletion_Bvul;Depletion_Bmature
1;2010;0,12270986606611;20752,8371621773;0;169121,178495922;177430,798077035;182792,399617453;16,357599348084;14,7641042487088;14,7641042487088;1,40656105822276E-04;3,54675948965913E-02;3,58784553015219E-02
1;2011;0,125876144571163;42709,1722144602;0;339295,204504097;358714,915525873;365664,755686652;33,0704417268442;26,5642814834138;26,5642814834138;1,39888574812774E-04;0,035577994934554;3,62680470419133E-02
1;2012;0,12318527194687;63130,5264472815;0;512484,36967781;541859,30618269;552167,921312959;49,95478535648;51,2929098481768;51,2929098481768;1,43300753037856E-04;3,58255703124053E-02;3,65233001772867E-02
1;2013;0,153008527141605;105177,583075465;0;687396,872843085;726397,79967787;739947,331108905;66,9676533230806;62,6686115833538;62,6686115833538;1,43307134990899E-04;3,60397113419034E-02;3,67214024697547E-02
1;2014;0,121580143378071;105177,583075465;0;865088,493508354;914458,254965633;931021,757648144;84,3052159906391;85,8592079282879;85,8592079282879;1,46267113390686E-04;3,62847616251641E-02;3,69826997133242E-02
1;2015;0,123252767423676;128778,853448217;0;1044835,39104274;1103766,77229686;1124065,72640252;101,757839285156;101,684294813702;101,684294813702;1,47327103664726E-04;3,65199662481648E-02;3,71989598502174E-02
1;2016;0,137532234404543;168643,102498267;0;1226207,82850232;1296260,2233569;1318306,85654385;119,504086180822;113,224631149232;113,224631149232;1,47294916627242E-04;3,67366700417612E-02;3,74454354574089E-02
1;2017;0,134309430047228;189373,726794338;0;1409980,86826626;1490276,78203481;1515231,99633956;137,390750548806;133,523200714987;133,523200714987;1,49452924975561E-04;3,69621287915883E-02;3,76687907980309E-02
1;2018;0,133293082904958;212697,500681006;0;1595712,96608591;1684923,48533461;1713866,5347449;155,335508851821;148,716607178979;148,716607178979;1,50291911667518E-04;3,71831353613561E-02;3,78566696363602E-02
1;2019;0,143058636634929;255141,84197352;0;1783477,37665511;1884249,54490158;1914452,27272132;173,711663709746;166,145465283527;166,145465283527;1,51673147900962E-04;3,74025616809217E-02;3,81015944279937E-02
1;2020;0,129345750150173;255141,84197352;0;1972556,82291297;2082933,36244971;2117053,77038339;192,028609356291;183,318493056125;183,318493056125;1,52963076381236E-04;3,76071637066767E-02;3,82901812223225E-02
1;2021;0,128065700956905;277071,998985334;0;2163514,48447989;2285594,38617682;2321106,28445069;210,712219335666;197,97351331153;197,97351331153;1,53597960670973E-04;3,78104898761939E-02;3,85143564470372E-02
1;2022;0,137287942291045;323472,409369328;0;2356160,3733821;2488940,75552942;2526714,99235635;229,459012309641;212,666454773549;212,666454773549;1,54229753553755E-04;3,80097697164761E-02;3,87147035148392E-02
1;2023;0,136113943160786;347197,40078549;0;2550784,97267073;2693065,80722923;2734384,61896139;248,277593124246;230,483696002494;230,483696002494;1,55630111043364E-04;3,82102216730016E-02;3,88976765814838E-02
1;2024;0,135295562354517;371766,781711872;0;2747812,08815797;2900149,91307263;2943989,60692128;267,368973377587;248,416759933982;248,416759933982;1,57031695467738E-04;3,84175366095436E-02;3,90961434548367E-02
1;2025;0,143079216389065;421557,334280618;0;2946321,24021637;3108235,35476596;3155640,60669265;286,552668216805;266,885569484186;266,885569484186;1,58539463072955E-04;3,86183627002607E-02;3,92824570378992E-02
1;2026;0,134001715473147;421557,334280618;0;3145909,98176507;3318621,76779661;3368047,28638067;305,948492898502;278,273821281522;278,273821281522;1,58247235474511E-04;3,88088803288177E-02;3,94742208856426E-02
1;2027;0,133913256433646;448211,325628504;0;3347027,30383226;3530911,21841944;3581680,98694625;325,519761340892;292,44313225499;292,44313225499;1,5865605872171E-04;3,89960387430508E-02;3,96660562555092E-02
1;2028;0,133515075417374;473916,07418312;0;3549532,3108768;3743497,64971683;3796641,46656667;345,118408856934;307,250765222391;307,250765222391;1,59216367398531E-04;3,91788131769346E-02;3,98408590997483E-02
1;2029;0,133943298098563;502873,688969664;0;3754377,38288048;3957250,77997114;4014342,9084122;364,824616020476;330,691081359287;330,691081359287;1,61923752052462E-04;3,93678477436049E-02;4,00099776264501E-02
1;2030;0,139136855468726;551086,449383336;0;3960751,07150315;4172747,92443245;4233569,80217822;384,691606351117;347,631918183366;347,631918183366;1,62952657609715E-04;3,95541445882196E-02;4,01797829039127E-02
1;2031;0,132152462324879;551086,449383336;0;4170080,82701149;4390869,14299685;4457566,45211551;404,800513830884;383,524539066337;383,524539066337;1,68699135080398E-04;3,97516843392891E-02;4,03582702739758E-02
1;2032;0,125795989897347;551086,449383336;0;4380795,04627324;4610595,8337888;4683115,63298997;425,057432094277;401,083775559712;401,083775559712;1,69748479760436E-04;3,99446704448848E-02;4,05353519644744E-02
1;2033;0,136675152503547;627851,510109362;0;4593750,20703245;4833735,64653009;4911474,32756085;445,629010957625;425,841340182982;425,841340182982;1,72576626910289E-04;4,01411561934884E-02;4,07264339611498E-02
1;2034;0,13053531292198;627851,510109362;0;4809821,15915732;5058829,79412617;5143758,97470149;466,38076274976;457,959163402563;457,959163402563;1,77188838093463E-04;4,03480604653328E-02;4,09180369166259E-02
1;2035;0,124842811679856;627851,510109362;0;5029136,25270959;5286586,54473924;5381038,22876125;487,377983726767;497,10806217011;497,10806217011;1,83467490723229E-04;4,05652163999096E-02;4,11156091663547E-02
1;2036;0,125734979657438;660156,114351349;0;5250377,54927014;5519574,34551206;5621561,06376037;508,857462708642;526,921716509727;526,921716509727;1,8728800703354E-04;4,07812481028675E-02;4,13377233150507E-02
1;2037;0,131115504834743;717486,174224191;0;5472168,79596739;5756239,59601448;5863000,93091477;530,675971047041;542,818659485817;542,818659485817;1,87553693627918E-04;4,09859680385115E-02;4,15705300498518E-02
1;2038;0,130619238787731;744019,402193605;0;5696093,5395031;5999496,98339487;6106951,30945689;553,10221792388;567,862354991142;567,862354991142;1,90100806537758E-04;4,11919980015697E-02;4,18332467494507E-02
1;2039;0,125666953369752;744019,402193605;0;5920565,28978198;6240835,67124348;6351073,80144936;575,351577143387;577,176334724431;577,176334724431;1,88665054861408E-04;4,13881165218012E-02;4,20655162654151E-02
1;2040;0,121028818639996;744019,402193605;0;6147456,53600661;6486318,68057766;6596638,27202443;597,983007295142;593,452890045411;593,452890045411;1,88998375886867E-04;4,15879502844632E-02;4,23098337901225E-02
1;2041;0,125865398897033;802634,681274881;0;6376928,7533224;6733441,14527154;6843739,46079252;620,765581184137;609,424677412265;609,424677412265;1,89248905160437E-04;4,17922092384333E-02;4,25492413405529E-02
1;2042;0,121448058410402;802634,681274881;0;6608872,07074638;6983581,24775626;7093942,24253582;643,8263554222;632,899887999947;632,899887999947;1,91370329408174E-04;4,19997928566657E-02;4,27926302361255E-02
1;2043;0,121168068147971;829484,35165925;0;6845733,89951452;7234196,1370439;7350645,32683648;666,930900935498;673,857599398576;673,857599398576;1,97820372313027E-04;4,22255037825538E-02;4,30245258761942E-02
1;2044;0,121380802237034;860144,758926254;0;7086332,78964946;7486199,24503397;7609324,56391139;690,163428318843;687,785935972809;687,785935972809;1,97385353197693E-04;0,042460709098135;4,32511907100373E-02
1;2045;0,121284224385923;889335,137655462;0;7332653,0483109;7746214,92989981;7872807,77567684;714,134646638035;718,847259641762;718,847259641762;2,01242193122324E-04;4,27161771333449E-02;4,35102694700736E-02
1;2046;0,121697406884758;922739,252525361;0;7582242,51564498;8005427,85418414;8139439,1755672;738,031857309699;740,790458913689;740,790458913689;2,02743132471158E-04;4,29763660532324E-02;0,043750956756521
1;2047;0,117775581252248;922739,252525361;0;7834724,67479539;8270161,05117939;8408514,88850521;762,437989827378;760,871568719205;760,871568719205;2,03748828293114E-04;4,32388252088772E-02;4,40083515475411E-02
1;2048;0,117806793888134;953060,463728298;0;8090029,71962127;8537359,86202602;8680995,41145932;787,07143081667;788,173212660982;788,173212660982;2,06539743421231E-04;4,35030045939894E-02;4,42653305592673E-02
