"","Year","HR.Min.","HR.1st Qu.","HR.Median","HR.Mean","HR.3rd Qu.","HR.Max.","Catch.Min.","Catch.1st Qu.","Catch.Median","Catch.Mean","Catch.3rd Qu.","Catch.Max.","Effort.Min.","Effort.1st Qu.","Effort.Median","Effort.Mean","Effort.3rd Qu.","Effort.Max.","Bvulnerable.Min.","Bvulnerable.1st Qu.","Bvulnerable.Median","Bvulnerable.Mean","Bvulnerable.3rd Qu.","Bvulnerable.Max.","Bmature.Min.","Bmature.1st Qu.","Bmature.Median","Bmature.Mean","Bmature.3rd Qu.","Bmature.Max.","Btotal.Min.","Btotal.1st Qu.","Btotal.Median","Btotal.Mean","Btotal.3rd Qu.","Btotal.Max.","Larvae.Min.","Larvae.1st Qu.","Larvae.Median","Larvae.Mean","Larvae.3rd Qu.","Larvae.Max.","Settlers.Min.","Settlers.1st Qu.","Settlers.Median","Settlers.Mean","Settlers.3rd Qu.","Settlers.Max.","Recruits.Min.","Recruits.1st Qu.","Recruits.Median","Recruits.Mean","Recruits.3rd Qu.","Recruits.Max.","Density.Min.","Density.1st Qu.","Density.Median","Density.Mean","Density.3rd Qu.","Density.Max.","Depletion_Bvul.Min.","Depletion_Bvul.1st Qu.","Depletion_Bvul.Median","Depletion_Bvul.Mean","Depletion_Bvul.3rd Qu.","Depletion_Bvul.Max.","Depletion_Bmature.Min.","Depletion_Bmature.1st Qu.","Depletion_Bmature.Median","Depletion_Bmature.Mean","Depletion_Bmature.3rd Qu.","Depletion_Bmature.Max."
"1",2010,0.1227,0.1998,0.2769,0.2769,0.354,0.4311,20750,28280,35810,35810,43340,50860,0,0,0,0,0,0,118000,130800,143500,143500,156300,169100,122800,136500,150100,150100,163800,177400,127800,141500,155300,155300,169000,182800,11.32,12.58,13.84,13.84,15.1,16.36,14.76,15.46,16.16,16.16,16.86,17.56,14.76,15.46,16.16,16.16,16.86,17.56,9.919e-05,0.0001096,0.0001199,0.0001199,0.0001303,0.0001407,0.02474,0.02742,0.0301,0.0301,0.03279,0.03547,0.02483,0.0276,0.03036,0.03036,0.03312,0.03588
"2",2011,0.1259,0.1704,0.2149,0.2149,0.2594,0.3038,42710,50240,57760,57760,65290,72820,0,0,0,0,0,0,239700,264600,289500,289500,314400,339300,250800,277800,304800,304800,331700,358700,259200,285800,312400,312400,339000,365700,23.12,25.61,28.1,28.1,30.58,33.07,26.56,27.97,29.38,29.38,30.78,32.19,26.56,27.97,29.38,29.38,30.78,32.19,0.0001009,0.0001106,0.0001204,0.0001204,0.0001301,0.0001399,0.02513,0.02774,0.03035,0.03035,0.03297,0.03558,0.02536,0.02808,0.03081,0.03081,0.03354,0.03627
"3",2012,0.1232,0.1775,0.2319,0.2319,0.2862,0.3405,63130,78240,93350,93350,108500,123600,0,0,0,0,0,0,362900,400300,437700,437700,475100,512500,381000,421200,461500,461500,501700,541900,391900,432000,472000,472000,512100,552200,35.13,38.84,42.54,42.54,46.25,49.95,44.01,45.83,47.65,47.65,49.47,51.29,44.01,45.83,47.65,47.65,49.47,51.29,0.0001018,0.0001122,0.0001226,0.0001226,0.0001329,0.0001433,0.02537,0.02798,0.0306,0.0306,0.03321,0.03583,0.02568,0.02839,0.0311,0.0311,0.03381,0.03652
"4",2013,0.153,0.1999,0.2467,0.2467,0.2936,0.3405,105200,120300,135400,135400,150500,165600,0,0,0,0,0,0,486400,536700,586900,586900,637200,687400,513100,566400,619700,619700,673100,726400,524800,578600,632400,632400,686200,739900,47.3,52.22,57.13,57.13,62.05,66.97,48.92,52.35,55.79,55.79,59.23,62.67,48.92,52.35,55.79,55.79,59.23,62.67,0.0001011,0.0001116,0.0001222,0.0001222,0.0001327,0.0001433,0.0255,0.02814,0.03077,0.03077,0.03341,0.03604,0.02594,0.02863,0.03133,0.03133,0.03403,0.03672
"5",2014,0.1216,0.1588,0.1961,0.1961,0.2333,0.2706,105200,120300,135400,135400,150500,165600,0,0,0,0,0,0,612100,675300,738600,738600,801800,865100,646500,713500,780500,780500,847500,914500,660400,728100,795700,795700,863400,931000,59.6,65.77,71.95,71.95,78.13,84.31,69.29,73.43,77.58,77.58,81.72,85.86,69.29,73.43,77.58,77.58,81.72,85.86,0.0001041,0.0001147,0.0001252,0.0001252,0.0001357,0.0001463,0.02567,0.02833,0.03098,0.03098,0.03363,0.03628,0.02614,0.02885,0.03156,0.03156,0.03427,0.03698
"6",2015,0.1233,0.1586,0.1939,0.1939,0.2292,0.2645,128800,145500,162100,162100,178800,195500,0,0,0,0,0,0,739200,815600,892000,892000,968400,1045000,780000,860900,941900,941900,1023000,1104000,797700,879300,960900,960900,1042000,1124000,71.91,79.37,86.83,86.83,94.3,101.8,82.87,87.58,92.28,92.28,96.98,101.7,82.87,87.58,92.28,92.28,96.98,101.7,0.0001055,0.0001159,0.0001264,0.0001264,0.0001369,0.0001473,0.02584,0.02851,0.03118,0.03118,0.03385,0.03652,0.02629,0.02902,0.03174,0.03174,0.03447,0.0372
"7",2016,0.1375,0.1744,0.2112,0.2112,0.2481,0.2849,168600,188300,208000,208000,227700,247300,0,0,0,0,0,0,868000,957500,1047000,1047000,1137000,1226000,916300,1011000,1106000,1106000,1201000,1296000,936800,1032000,1128000,1128000,1223000,1318000,84.47,93.23,102,102,110.7,119.5,97.54,101.5,105.4,105.4,109.3,113.2,97.54,101.5,105.4,105.4,109.3,113.2,0.0001071,0.0001171,0.0001272,0.0001272,0.0001372,0.0001473,0.026,0.02869,0.03137,0.03137,0.03405,0.03674,0.02647,0.02921,0.03196,0.03196,0.0347,0.03745
"8",2017,0.1343,0.1679,0.2015,0.2015,0.2351,0.2687,189400,209000,228700,228700,248400,268100,0,0,0,0,0,0,997600,1101000,1204000,1204000,1307000,1410000,1055000,1164000,1273000,1273000,1382000,1490000,1076000,1186000,1296000,1296000,1406000,1515000,97.28,107.3,117.3,117.3,127.4,137.4,104.7,111.9,119.1,119.1,126.3,133.5,104.7,111.9,119.1,119.1,126.3,133.5,0.0001067,0.0001174,0.0001281,0.0001281,0.0001388,0.0001495,0.02615,0.02885,0.03156,0.03156,0.03426,0.03696,0.02667,0.02942,0.03217,0.03217,0.03492,0.03767
"9",2018,0.1333,0.1684,0.2035,0.2035,0.2386,0.2737,212700,236700,260700,260700,284800,308800,0,0,0,0,0,0,1128000,1245000,1362000,1362000,1479000,1596000,1195000,1318000,1440000,1440000,1563000,1685000,1217000,1341000,1465000,1465000,1590000,1714000,110.2,121.5,132.8,132.8,144.1,155.3,112.5,121.6,130.6,130.6,139.7,148.7,112.5,121.6,130.6,130.6,139.7,148.7,0.0001066,0.0001175,0.0001284,0.0001284,0.0001394,0.0001503,0.02629,0.02901,0.03173,0.03173,0.03446,0.03718,0.02686,0.02961,0.03236,0.03236,0.03511,0.03786
"10",2019,0.1431,0.1769,0.2108,0.2108,0.2447,0.2786,255100,279200,303200,303200,327200,351200,0,0,0,0,0,0,1261000,1391000,1522000,1522000,1653000,1783000,1336000,1473000,1610000,1610000,1747000,1884000,1360000,1499000,1637000,1637000,1776000,1914000,123.2,135.8,148.4,148.4,161.1,173.7,132.4,140.9,149.3,149.3,157.7,166.1,132.4,140.9,149.3,149.3,157.7,166.1,0.0001094,0.00012,0.0001306,0.0001306,0.0001411,0.0001517,0.02644,0.02918,0.03192,0.03192,0.03466,0.0374,0.02701,0.02979,0.03256,0.03256,0.03533,0.0381
